,School,Zip Code,Grades,Local District,Board District,complete_address
755,Van Nuys Senior High,91411,9-12,NE,6-Kelly Gonez,6535 Cedros Ave Van Nuys CA 91411
756,Middleton Street Elementary,90255,1- 6,E,5-Jackie Goldberg,6537 Malabar St Huntington Park CA 90255
757,Westside Innovative School House Community,90045,7- 8,XR,4-Nick Melvoin,6550 W 80th St Los Angeles CA 90045
758,Ararat Charter School,91401,K- 5,XR,6-Kelly Gonez,6555 Sylmar Ave Van Nuys CA 91401
759,66th Street Elementary,90003,K- 6,S,7-Dr Richard A Vladovic,6600 S San Pedro St Los Angeles CA 90003
760,Manchester Avenue Elementary Comm/Broadcasting Magnet,90044,2- 5,S,1-Dr George J McKenna III,661 W 87th St Los Angeles CA 90044
761,Selma Avenue Elementary,90028,K- 5,W,4-Nick Melvoin,6611 Selma Ave Los Angeles CA 90028
762,Haynes Charter for Enriched Studies,91307,K- 5,NW,3-Scott M Schmerelson,6624 Lockhurst Dr West Hills CA 91307
763,Daniel Pearl Senior High Journalism & Communications Magnet,91406,9-12,NW,3-Scott M Schmerelson,6649 Balboa Blvd Lake Balboa CA 91406
764,KIPP Raices Academy,90022,K- 4,XR,2-Monica Garcia,668 S Atlantic Blvd Los Angeles CA 90022
765,Everest Value School,90005,K- 8,XR,2-Monica Garcia,668 S Catalina Ave Los Angeles CA 90005
766,Columbus Avenue Elementary,91405,K- 5,NE,6-Kelly Gonez,6700 Columbus Ave Van Nuys CA 91405
767,Lake Balboa College Preparatory Magnet K-12,91406,K-12,NW,3-Scott M Schmerelson,6701 Balboa Blvd Lake Balboa CA 91406
768,Miles Avenue Elementary Science/Tech/Math Magnet,90255,1- 5,E,5-Jackie Goldberg,6720 Miles Ave Huntington Park CA 90255
769,Aspire Titan Academy,90255,K- 5,XR,5-Jackie Goldberg,6720 S Alameda St Huntington Park CA 90255
770,Aspire Junior Collegiate Academy,90255,K- 5,XR,5-Jackie Goldberg,6724 S Alameda St Huntington Park CA 90255
771,Bellingham Elementary,91606,K- 5,NE,6-Kelly Gonez,6728 Bellingham Ave North Hollywood CA 91606
772,Esperanza Elementary,90017,K- 5,C,2-Monica Garcia,680 Little St Los Angeles CA 90017
773,Charter High School of Arts-Multimedia & Performing,91405,9-12,XR,6-Kelly Gonez,6842 Van Nuys Blvd Van Nuys CA 91405
774,Coldwater Canyon DL Two-Way Im Spanish,91605,K- K,NE,3-Scott M Schmerelson,6850 Coldwater Canyon Av North Hollywood CA 91605
775,Coldwater Canyon Elementary,91605,K- 5,NE,3-Scott M Schmerelson,6850 Coldwater Canyon Ave North Hollywood CA 91605
776,Canoga Park Senior High,91303,9-12,NW,3-Scott M Schmerelson,6850 Topanga Cyn Blvd Canoga Park CA 91303
777,Andres & Maria Cardenas Elementary,91405,K- 5,NE,6-Kelly Gonez,6900 Calhoun Ave Van Nuys CA 91405
778,Owensmouth Continuation High,91303,9-12,NW,3-Scott M Schmerelson,6921 Jordan Ave Canoga Park CA 91303
