,School,Zip Code,Grades,Local District,Board District,complete_address
934,Beachy Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,9757 Beachy Ave Arleta CA 91331
935,Hobart Boulevard Elementary DL Two-Way Im Spanish,90006,K- K,C,2-Monica Garcia,980 S Hobart Bl Los Angeles CA 90006
936,Hobart Boulevard Elementary,90006,K- 5,C,2-Monica Garcia,980 S Hobart Blvd Los Angeles CA 90006
937,San Miguel Elementary DL World Lang Im Mandarin,90280,K- K,E,5-Jackie Goldberg,9801 San Miguel Av South Gate CA 90280
938,San Miguel Elementary,90280,K- 5,E,5-Jackie Goldberg,9801 San Miguel Ave South Gate CA 90280
939,Wadsworth Avenue Elementary,90011,K- 5,C,5-Jackie Goldberg,981 E 41st St Los Angeles CA 90011
940,Topeka Drive Charter for Advanced Studies,91324,K- 5,NW,3-Scott M Schmerelson,9815 Topeka Dr Northridge CA 91324
941,Madison Elementary,90280,K- 5,E,5-Jackie Goldberg,9820 Madison Ave South Gate CA 90280
942,Stonehurst Avenue Elementary STEAM Magnet,91352,K- 5,NE,6-Kelly Gonez,9851 Stonehurst Ave Sun Valley CA 91352
943,Mariposa-Nabi Primary Center,90006,K- 2,C,2-Monica Garcia,987 S Mariposa Ave Los Angeles CA 90006
944,99th Street Elementary,90002,K- 6,S,7-Dr Richard A Vladovic,9900 S Wadsworth Ave Los Angeles CA 90002
945,Pacoima Middle School,91331,6- 8,NE,6-Kelly Gonez,9919 Laurel Canyon Blvd Pacoima CA 91331
946,Alfred B Nobel Charter Middle School,91324,6- 8,NW,3-Scott M Schmerelson,9950 Tampa Ave Northridge CA 91324
